station_name,year,josha_num,lines
上飯田,2000,1937296.0,1
上飯田,2001,1862593.0,1
上飯田,2002,1848475.0,2
上飯田,2003,4965354.0,2
上飯田,2004,5710380.0,2
上飯田,2005,6065079.0,2
上飯田,2006,5903036.0,2
上飯田,2007,5957822.0,2
上飯田,2008,6154261.0,2
上飯田,2009,5897531.0,2
上飯田,2010,6090010.0,2
上飯田,2011,5769194.0,2
上飯田,2012,5977983.0,2
上飯田,2013,6209965.0,2
上飯田,2014,6366419.0,2
上飯田,2015,6625874.0,2
中京競馬場前,1991,2290322.0,1
中京競馬場前,1992,2204556.0,1
中京競馬場前,1993,2161799.0,1
中京競馬場前,1994,2251617.0,1
中京競馬場前,1995,2179361.0,1
中京競馬場前,1996,2082193.0,1
中京競馬場前,1997,1994727.0,1
中京競馬場前,1998,1922379.0,1
中京競馬場前,1999,1751915.0,1
中京競馬場前,2000,1629907.0,1
中京競馬場前,2001,1601382.0,1
中京競馬場前,2002,1627937.0,1
中京競馬場前,2003,1673635.0,1
中京競馬場前,2004,1670710.0,1
中京競馬場前,2005,1687148.0,1
中京競馬場前,2006,1730321.0,1
中京競馬場前,2007,1713905.0,1
中京競馬場前,2008,1737295.0,1
中京競馬場前,2009,1696794.0,1
中京競馬場前,2010,1585799.0,1
中京競馬場前,2011,1632766.0,1
中京競馬場前,2012,1669761.0,1
中京競馬場前,2013,1777226.0,1
中京競馬場前,2014,1730520.0,1
中京競馬場前,2015,1721001.0,1
中小田井,1991,1001628.0,1
中小田井,1992,950070.0,1
中小田井,1993,899655.0,1
中小田井,1994,771463.0,1
中小田井,1995,746258.0,1
中小田井,1996,716914.0,1
中小田井,1997,681575.0,1
中小田井,1998,648233.0,1
中小田井,1999,595351.0,1
中小田井,2000,600335.0,1
中小田井,2001,582767.0,1
中小田井,2002,555004.0,1
中小田井,2003,540680.0,1
中小田井,2004,550395.0,1
中小田井,2005,559431.0,1
中小田井,2006,561363.0,1
中小田井,2007,553954.0,1
中小田井,2008,585206.0,1
中小田井,2009,556142.0,1
中小田井,2010,568463.0,1
中小田井,2011,586490.0,1
中小田井,2012,594246.0,1
中小田井,2013,610174.0,1
中小田井,2014,620065.0,1
中小田井,2015,650159.0,1
中島,2004,208624.0,1
中島,2005,594347.0,1
中島,2006,664350.0,1
中島,2007,756105.0,1
中島,2008,790580.0,1
中島,2009,799806.0,1
中島,2010,813690.0,1
中島,2011,822219.0,1
中島,2012,846133.0,1
中島,2013,877093.0,1
中島,2014,915666.0,1
中島,2015,943269.0,1
中村公園,1991,5147931.0,1
中村公園,1992,4851304.0,1
中村公園,1993,4927192.0,1
中村公園,1994,4552959.0,1
中村公園,1995,4645099.0,1
中村公園,1996,4332284.0,1
中村公園,1997,4183386.0,1
中村公園,1998,4173562.0,1
中村公園,1999,4032396.0,1
中村公園,2000,4022895.0,1
中村公園,2001,4120097.0,1
中村公園,2002,4143811.0,1
中村公園,2003,4451595.0,1
中村公園,2004,4346996.0,1
中村公園,2005,4403053.0,1
中村公園,2006,4439403.0,1
中村公園,2007,4375528.0,1
中村公園,2008,4399622.0,1
中村公園,2009,4171195.0,1
中村公園,2010,4040532.0,1
中村公園,2011,3949869.0,1
中村公園,2012,4059856.0,1
中村公園,2013,4177136.0,1
中村公園,2014,4214217.0,1
中村公園,2015,4355813.0,1
中村区役所,1991,1404774.0,1
中村区役所,1992,1445420.0,1
中村区役所,1993,1551675.0,1
中村区役所,1994,1554300.0,1
中村区役所,1995,1650687.0,1
中村区役所,1996,1670237.0,1
中村区役所,1997,1599227.0,1
中村区役所,1998,1684937.0,1
中村区役所,1999,1648531.0,1
中村区役所,2000,1711341.0,1
中村区役所,2001,1824326.0,1
中村区役所,2002,1921632.0,1
中村区役所,2003,1941460.0,1
中村区役所,2004,1763229.0,1
中村区役所,2005,1843945.0,1
中村区役所,2006,1882619.0,1
中村区役所,2007,1880402.0,1
中村区役所,2008,1930290.0,1
中村区役所,2009,1860284.0,1
中村区役所,2010,1771882.0,1
中村区役所,2011,1828429.0,1
中村区役所,2012,1906638.0,1
中村区役所,2013,1996769.0,1
中村区役所,2014,2043486.0,1
中村区役所,2015,2114713.0,1
中村日赤,1991,1463402.0,1
中村日赤,1992,1438427.0,1
中村日赤,1993,1550816.0,1
中村日赤,1994,1369667.0,1
中村日赤,1995,1528252.0,1
中村日赤,1996,1368022.0,1
中村日赤,1997,1304392.0,1
中村日赤,1998,1343957.0,1
中村日赤,1999,1265514.0,1
中村日赤,2000,1361005.0,1
中村日赤,2001,1407957.0,1
中村日赤,2002,1573784.0,1
中村日赤,2003,1590832.0,1
中村日赤,2004,1461956.0,1
中村日赤,2005,1446138.0,1
中村日赤,2006,1425723.0,1
中村日赤,2007,1400641.0,1
中村日赤,2008,1419428.0,1
中村日赤,2009,1520595.0,1
中村日赤,2010,1465543.0,1
中村日赤,2011,1541203.0,1
中村日赤,2012,1589356.0,1
中村日赤,2013,1632460.0,1
中村日赤,2014,1635681.0,1
中村日赤,2015,1689354.0,1
丸の内,1991,6049707.0,2
丸の内,1992,6237617.0,2
丸の内,1993,6227676.0,2
丸の内,1994,6529951.0,2
丸の内,1995,6797525.0,2
丸の内,1996,6755085.0,2
丸の内,1997,6850910.0,2
丸の内,1998,6910816.0,2
丸の内,1999,6487268.0,2
丸の内,2000,6607297.0,2
丸の内,2001,6842036.0,2
丸の内,2002,6942129.0,2
丸の内,2003,6388180.0,2
丸の内,2004,5543164.0,2
丸の内,2005,5619273.0,2
丸の内,2006,5773744.0,2
丸の内,2007,5975642.0,2
丸の内,2008,5746985.0,2
丸の内,2009,5399181.0,2
丸の内,2010,5444553.0,2
丸の内,2011,5430520.0,2
丸の内,2012,5722070.0,2
丸の内,2013,6048329.0,2
丸の内,2014,6292475.0,2
丸の内,2015,6600796.0,2
久屋大通,1991,6834420.0,3
久屋大通,1992,7089646.0,3
久屋大通,1993,7342492.0,3
久屋大通,1994,7763913.0,3
