station_name,year,josha_num,lines,log_josha_num
上前津,2015,8217016.0,3,15.9217176840941
上小田井,1991,275606.0,1,12.52672758856681
上小田井,1992,693147.0,1,13.448997376889638
上小田井,1993,5259174.0,2,15.475484538162195
上小田井,1994,10296545.0,2,16.147318960035122
上小田井,1995,11057573.0,2,16.21862609055677
上小田井,1996,11517571.0,2,16.25938434030544
上小田井,1997,11762760.0,2,16.280449166776005
上小田井,1998,12029326.0,2,16.302858059781148
上小田井,1999,12076989.0,2,16.306812464434874
上小田井,2000,12199414.0,2,16.31689847576299
上小田井,2001,12831238.0,2,16.367393224532186
上小田井,2002,11357502.0,2,16.24538905271077
上小田井,2003,10517108.0,2,16.16851382253758
上小田井,2004,11553986.0,2,16.262541043621038
上小田井,2005,11379366.0,2,16.247312273335456
上小田井,2006,11524943.0,2,16.26002420106469
上小田井,2007,11666345.0,2,16.27221875897691
上小田井,2008,11491282.0,2,16.257099218883734
上小田井,2009,11761303.0,2,16.28032529361669
上小田井,2010,11822582.0,2,16.28552198940337
上小田井,2011,9978683.0,2,16.115961675651786
上小田井,2012,10110788.0,2,16.12911353059034
上小田井,2013,10461208.0,2,16.163184497504577
上小田井,2014,10650112.0,2,16.181080966496335
上小田井,2015,10972694.0,2,16.210920380953276
上社,1991,4085590.0,1,15.222976706691663
上社,1992,3734713.0,1,15.13318153290054
上社,1993,3816624.0,1,15.154876820194627
上社,1994,3594041.0,1,15.094787754162631
上社,1995,3574317.0,1,15.089284666907021
上社,1996,3479827.0,1,15.062493137871265
上社,1997,3559217.0,1,15.0850511348168
上社,1998,3524754.0,1,15.075321204559222
上社,1999,3645348.0,1,15.108962392118643
上社,2000,3547922.0,1,15.081872637953492
上社,2001,3783991.0,1,15.14628983071556
上社,2002,3821248.0,1,15.156087628798101
上社,2003,3889758.0,1,15.173857502862543
上社,2004,3624944.0,1,15.103349397875725
上社,2005,3822766.0,1,15.156484802330215
上社,2006,3850728.0,1,15.163772779297625
上社,2007,3955928.0,1,15.19072577135689
上社,2008,4026785.0,1,15.20847884878825
上社,2009,4014607.0,1,15.205450017633172
上社,2010,4166907.0,1,15.242684591940993
上社,2011,3999285.0,1,15.20162615310648
上社,2012,4057400.0,1,15.216052932349367
上社,2013,4149192.0,1,15.23842417445543
上社,2014,4160061.0,1,15.241040295591477
上社,2015,4309442.0,1,15.27631898734113
上飯田,1991,2730610.0,1,14.820035585424867
上飯田,1992,2722473.0,1,14.817051216384703
上飯田,1993,2644258.0,1,14.787901054618265
上飯田,1994,2529431.0,1,14.743504934223868
上飯田,1995,2481041.0,1,14.72418878813191
上飯田,1996,2367829.0,1,14.677484059540722
上飯田,1997,2267622.0,1,14.63424226327268
上飯田,1998,2149990.0,1,14.580973748930239
上飯田,1999,2040575.0,1,14.528742188849657
上飯田,2000,1937297.0,1,14.476804260526892
上飯田,2001,1862594.0,1,14.437480697760952
上飯田,2002,1848476.0,2,14.429872073774401
上飯田,2003,4965355.0,2,15.417995353408896
上飯田,2004,5710381.0,2,15.557796304449958
上飯田,2005,6065080.0,2,15.618058290710227
上飯田,2006,5903037.0,2,15.590977522202506
上飯田,2007,5957823.0,2,15.600215703858385
上飯田,2008,6154262.0,2,15.632655407893532
上飯田,2009,5897532.0,2,15.590044516277224
上飯田,2010,6090011.0,2,15.622160445924186
上飯田,2011,5769195.0,2,15.568043114019828
上飯田,2012,5977984.0,2,15.603593945342011
上飯田,2013,6209966.0,2,15.641665978854416
上飯田,2014,6366420.0,2,15.666547860142703
上飯田,2015,6625875.0,2,15.70649299658706
中京競馬場前,1991,2290323.0,1,14.644203413619017
中京競馬場前,1992,2204557.0,1,14.606037139649084
中京競馬場前,1993,2161800.0,1,14.58645176596424
中京競馬場前,1994,2251618.0,1,14.627159626855208
