from_station,fare,transfer,time
刈谷市,782.927927927928,1.5315315315315314,0 days 01:05:18.648648648
前後,626.7816091954023,0.7931034482758621,0 days 00:47:34.827586206
加納(岐阜県),760.0975609756098,1.3317073170731708,0 days 01:06:49.463414634
勝幡,749.506726457399,1.0717488789237668,0 days 01:03:31.748878923
北安城,779.8695652173913,1.5565217391304347,0 days 01:04:29.478260869
北新川,935.6338028169014,1.5446009389671362,0 days 01:18:19.436619718
半田口,751.75,1.075,0 days 01:05:16.500000000
南加木屋,780.2551020408164,1.066326530612245,0 days 00:57:47.448979591
南安城,795.8695652173913,1.0217391304347827,0 days 01:00:20.543478260
南宿,872.0982142857143,1.8392857142857142,0 days 01:13:00.000000000
南桜井(愛知県),866.505376344086,0.9946236559139785,0 days 01:06:40.322580645
古見(愛知県),775.4314720812183,1.0710659898477157,0 days 01:03:01.218274111
可児川,988.019801980198,1.2128712871287128,0 days 01:25:59.108910891
各務原市役所前,854.0723981900453,1.253393665158371,0 days 01:14:42.624434389
吉浜(愛知県),855.7547169811321,1.5424528301886793,0 days 01:10:02.264150943
吉良吉田,1085.2830188679245,1.070754716981132,0 days 01:22:20.094339622
名和(愛知県),685.4661016949152,1.2457627118644068,0 days 01:00:32.542372881
名鉄一宮,675.8490566037735,0.7783018867924528,0 days 00:49:00.000000000
名鉄名古屋,569.3457943925233,0.40186915887850466,0 days 00:40:00.841121495
名鉄岐阜,750.5102040816327,0.6428571428571429,0 days 00:55:41.632653061
名電各務原,841.7129629629629,1.2453703703703705,0 days 01:11:36.944444444
名電山中,977.8181818181819,1.7,0 days 01:17:10.090909090
名電赤坂,1066.4545454545455,1.6772727272727272,0 days 01:27:24.818181818
名電長沢,1039.3055555555557,1.6851851851851851,0 days 01:25:17.777777777
味岡,820.7926829268292,1.7926829268292683,0 days 01:13:43.536585365
味美(名鉄線),866.0301507537688,1.9949748743718594,0 days 01:15:59.698492462
味鋺,833.8308457711443,2.0049751243781095,0 days 01:15:32.835820895
呼続,592.2222222222222,0.8383838383838383,0 days 00:53:03.030303030
善師野,908.780487804878,1.1560975609756097,0 days 01:20:02.341463414
国府(愛知県),1091.2068965517242,0.9396551724137931,0 days 01:06:39.568965517
国府宮,687.8111587982833,0.9141630901287554,0 days 00:49:08.755364806
土橋(愛知県),859.8190045248869,1.5475113122171946,0 days 01:09:49.411764705
坂部,757.2847682119206,1.185430463576159,0 days 01:07:33.377483443
堀内公園,840.6086956521739,1.626086956521739,0 days 01:11:21.130434782
堀田(名鉄線),564.5454545454545,0.5721925133689839,0 days 00:43:19.893048128
多屋,948.755980861244,1.555023923444976,0 days 01:21:16.650717703
大同町,615.5263157894736,1.1263157894736842,0 days 00:50:09.789473684
大山寺,664.3540669856459,1.0239234449760766,0 days 00:57:44.784688995
大江(愛知県),608.6802030456853,0.9847715736040609,0 days 00:44:48.730964467
大里,668.8085106382979,1.0680851063829788,0 days 00:57:39.063829787
大野町,873.4031413612565,1.0732984293193717,0 days 01:09:13.193717277
太田川,715.0970873786408,0.883495145631068,0 days 00:48:57.378640776
奥田,653.0555555555555,1.2592592592592593,0 days 01:01:46.388888888
奥町,763.0263157894736,1.7324561403508771,0 days 01:04:15.000000000
妙興寺,702.6666666666666,1.3688888888888888,0 days 00:59:53.333333333
宇頭,703.4228187919463,1.2348993288590604,0 days 00:58:15.704697986
富士松,667.2972972972973,1.1486486486486487,0 days 01:05:02.162162162
富岡前,875.5339805825242,1.1553398058252426,0 days 01:17:20.388349514
富貴,1017.7611940298508,0.9303482587064676,0 days 01:11:09.552238805
寺本,750.4926108374384,1.0738916256157636,0 days 01:00:16.551724137
小垣江,825.5405405405405,1.5315315315315314,0 days 01:07:54.864864864
小牧,808.1595092024539,1.8159509202453987,0 days 01:14:01.840490797
小牧原,821.1111111111111,1.7901234567901234,0 days 01:13:57.037037037
小牧口,865.0,1.9414893617021276,0 days 01:19:37.340425531
小田渕,1134.078947368421,1.8640350877192982,0 days 01:22:16.052631578
尾張横須賀,728.8038277511962,1.0239234449760766,0 days 00:55:11.196172248
山崎(愛知県),834.3589743589744,1.6666666666666667,0 days 01:16:48.461538461
山王(愛知県),589.1612903225806,0.6516129032258065,0 days 00:48:42.193548387
岐南,749.656862745098,1.3284313725490196,0 days 01:04:01.470588235
岡崎公園前,759.078947368421,1.2236842105263157,0 days 01:03:42.631578947
岩倉(愛知県),708.7214611872146,0.776255707762557,0 days 00:54:16.164383561
島氏永,649.0526315789474,1.2473684210526317,0 days 00:55:07.894736842
左京山,614.4444444444445,0.8055555555555556,0 days 00:54:51.333333333
巽ケ丘,814.829268292683,1.0146341463414634,0 days 01:00:29.853658536
市民公園前,837.6415094339623,1.3113207547169812,0 days 01:15:18.962264150
布袋,724.2487046632124,0.8238341968911918,0 days 00:57:03.730569948
常滑,953.9698492462312,1.0100502512562815,0 days 01:09:36.180904522
平戸橋,1002.8767123287671,1.6164383561643836,0 days 01:23:58.082191780
弥富,744.1176470588235,1.2605042016806722,0 days 01:09:07.058823529
形原,1179.5744680851064,1.8936170212765957,0 days 01:46:07.021276595
